Test ID,Role,Module,Test Scenario,Expected Result,Actual Result,Status,Severity,Notes,Screenshot,Timestamp
ADM-001,ADMIN,Authentication,Login with valid credentials,Dashboard loads successfully,,,,,,
ADM-002,ADMIN,User Management,View all users list,User list displays with pagination,,,,,,
ADM-003,ADMIN,User Management,Create new admin user,"User created, confirmation shown",,,,,,
ADM-004,ADMIN,Configuration,Update platform settings,"Settings saved, toast notification",,,,,,
ADM-005,ADMIN,Analytics,View dashboard metrics,Charts and stats load correctly,,,,,,
ADM-006,ADMIN,Reports,Generate user activity report,Report downloads as PDF/CSV,,,,,,
ADM-007,ADMIN,Jobs,View all job postings,Job list with filters works,,,,,,
ADM-008,ADMIN,Support,Access support tickets,Ticket queue displays,,,,,,
CLI-001,CLIENT,Authentication,Login as employer,Client dashboard loads,,,,,,
CLI-002,CLIENT,Profile,Update company profile,Profile updates saved,,,,,,
CLI-003,CLIENT,Jobs,Create new job posting,"Job posted, visible in search",,,,,,
CLI-004,CLIENT,Jobs,Edit existing job posting,Changes saved successfully,,,,,,
CLI-005,CLIENT,Candidates,Search candidate database,Search results with filters,,,,,,
CLI-006,CLIENT,Candidates,View candidate profile,Full profile with resume,,,,,,
CLI-007,CLIENT,Interviews,Schedule interview,"Interview scheduled, notifications sent",,,,,,
CLI-008,CLIENT,Offers,Make offer to candidate,"Offer sent, tracked in system",,,,,,
CLI-009,CLIENT,Billing,View subscription details,Plan and payment info shown,,,,,,
CLI-010,CLIENT,Billing,Download invoice,Invoice PDF downloads,,,,,,
CAN-001,CANDIDATE,Authentication,Register new account,"Account created, welcome email",,,,,,
CAN-002,CANDIDATE,Profile,Complete profile setup,Profile 100% complete,,,,,,
CAN-003,CANDIDATE,Profile,Upload resume/CV,Resume uploaded and parsed,,,,,,
CAN-004,CANDIDATE,Jobs,Search job listings,Jobs display with filters,,,,,,
CAN-005,CANDIDATE,Jobs,Apply to job,"Application submitted, confirmation",,,,,,
CAN-006,CANDIDATE,Jobs,Save job for later,Job saved to favorites,,,,,,
CAN-007,CANDIDATE,Applications,View application status,Status tracker visible,,,,,,
CAN-008,CANDIDATE,Interviews,Accept interview invitation,Interview confirmed,,,,,,
CAN-009,CANDIDATE,Offers,View job offer,Offer details displayed,,,,,,
CAN-010,CANDIDATE,Settings,Update notification preferences,Preferences saved,,,,,,
