test_id,role,category,module,test_name,expected,actual,status,severity,notes,timestamp
LP-01,Anonymous,Functionality,Landing Page,Start Free Trial CTA,Registration page,Login page (https://falcon.up.railway.app/login),FAIL,High,Critical flow broken - new users see login instead of signup,2026-03-01T16:53:04.401330
LP-04,Anonymous,Functionality,Landing Page,Watch Demo button,Demo video/modal,Login page,FAIL,Medium,Demo button has no actual demo functionality,2026-03-01T16:53:08.544306
LP-05,Anonymous,Functionality,Landing Page,See it in action links,Feature demo pages,No navigation or login,FAIL,Medium,All 4 solution cards have non-functional links,2026-03-01T16:53:12.622291
LP-07,Anonymous,Functionality,Landing Page,Request Demo button,Demo request form,Login page,FAIL,Medium,No demo request functionality,2026-03-01T16:53:16.486867
LP-02,Anonymous,UI/UX,Landing Page,Favicon present,Favicon loaded,Favicon: /favicon.ico?favicon.0b3bf435.ico,PASS,Medium,,2026-03-01T16:53:18.268723
LP-03,Anonymous,UI/UX,Landing Page,Stats bar emoji rendering,Proper emoji icons,Emojis render correctly,PASS,Medium,,2026-03-01T16:53:18.321948
LP-06,Anonymous,UI/UX,Landing Page,Testimonial avatars,Real photos or full names,"Single-letter placeholders (H, T, V, R)",FAIL,Medium,Anonymous avatars reduce credibility - should use real photos/names,2026-03-01T16:53:18.364566
COPY-01,Anonymous,Copywriting,Landing Page,No placeholder text,Professional copy,No placeholders found,PASS,Medium,,2026-03-01T16:53:18.428328
COPY-02,Anonymous,Copywriting,Landing Page,Brand consistency,Falcon mentioned throughout,27 mentions,PASS,Medium,,2026-03-01T16:53:18.433904
AUTH-CLIENT,Client,Functionality,Authentication,Login with valid credentials,Dashboard access,URL: https://falcon.up.railway.app/dashboard,PASS,Medium,,2026-03-01T16:53:22.059408
CL-DASH-01,Client,UI/UX,Dashboard,Personalized welcome message,"Welcome back, [Name]!","Welcome back, Ahmed!",PASS,Medium,,2026-03-01T16:53:22.079802
CL-01,Client,Functionality,Dashboard,Candidates stat matches interviews,"Candidates: 6, Interviews: 6","Candidates: 6, Interviews: 6",PASS,Medium,,2026-03-01T16:53:22.097615
CL-50,Client,Functionality,Dashboard,Statistics show actual counts,Real data from system,"Shows ""of 0 total""",FAIL,High,Data not loading - shows 0 for all stats,2026-03-01T16:53:22.105520
CL-UI-01,Client,UI/UX,Dashboard,Quick Actions visible,All 3 actions present,3 actions found,PASS,Medium,,2026-03-01T16:53:22.126726
