bug_id,status,actual_result,notes,timestamp
LP-01,OPEN,Redirects to https://falcon.up.railway.app/login,Start Free Trial still goes to login page instead of registration,2026-03-01T16:57:24.380310
LP-02,FIXED,Favicon found: /falcon-icon.svg,Favicon is present,2026-03-01T16:57:25.762350
LP-03,FIXED,Emojis render correctly,Stats emojis display properly,2026-03-01T16:57:25.795861
LP-04,OPEN,No action or goes to https://falcon.up.railway.app/login,Watch Demo has no demo functionality,2026-03-01T16:57:27.866297
LP-05,OPEN,No navigation (stays at https://falcon.up.railway.app/login),See it in action links do not work,2026-03-01T16:57:31.383301
LP-06,FIXED,Real names/photos found,Testimonials show proper avatars,2026-03-01T16:57:32.723219
LP-07,OPEN,Goes to https://falcon.up.railway.app/login,Request Demo does not open form,2026-03-01T16:57:34.799418
HC-01,NOT_FOUND,FAQ items not found,Could not locate FAQ elements,2026-03-01T16:57:37.132705
CL-01,FIXED,"Candidates: 6, Interviews: 6",Stats are consistent,2026-03-01T16:57:40.869724
CL-02,ERROR,"Page.click: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""text=/Create Job/i"")
    - locator resolved to <h6 class=""MuiTypography-root MuiTypography-subtitle2 mui-1y87fic"">Create Job</h6>
  - attempting click action
    2 × waiting for element to be visible, enabled and stable
      - element is visible, enabled and stable
      - scrolling into view if needed
      - done scrolling
      - <div class=""MuiBox-root mui-1aep41l"">…</div> from <div role=""presentation"" class=""MuiModal-root mui-1sucic7"">…</div> subtree intercepts pointer events
    - retrying click action
    - waiting 20ms
    - waiting for element to be visible, enabled and stable
    - element is not stable
  - retrying click action
    - waiting 100ms
    - waiting for element to be visible, enabled and stable
    - element is visible, enabled and stable
    - scrolling into view if needed
    - done scrolling
    - element is outside of the viewport
  - retrying click action
    - waiting 100ms
    - waiting for element to be visible, enabled and stable
    - element is not stable
  13 × retrying click action
       - waiting 500ms
       - waiting for element to be visible, enabled and stable
       - element is visible, enabled and stable
       - scrolling into view if needed
       - done scrolling
       - <div tabindex=""-1"" class=""MuiBox-root mui-rdx6dw"">…</div> from <div role=""presentation"" class=""MuiModal-root mui-1sucic7"">…</div> subtree intercepts pointer events
     - retrying click action
       - waiting 500ms
       - waiting for element to be visible, enabled and stable
       - element is visible, enabled and stable
       - scrolling into view if needed
       - done scrolling
       - <div tabindex=""-1"" class=""MuiBox-root mui-rdx6dw"">…</div> from <div role=""presentation"" class=""MuiModal-root mui-1sucic7"">…</div> subtree intercepts pointer events
     - retrying click action
       - waiting 500ms
       - waiting for element to be visible, enabled and stable
       - element is visible, enabled and stable
       - scrolling into view if needed
       - done scrolling
       - <div class=""MuiBox-root mui-y43y6z"">…</div> from <div role=""presentation"" class=""MuiModal-root mui-1sucic7"">…</div> subtree intercepts pointer events
     - retrying click action
       - waiting 500ms
       - waiting for element to be visible, enabled and stable
       - element is visible, enabled and stable
       - scrolling into view if needed
       - done scrolling
       - <div tabindex=""-1"" class=""MuiBox-root mui-rdx6dw"">…</div> from <div role=""presentation"" class=""MuiModal-root mui-1sucic7"">…</div> subtree intercepts pointer events
  - retrying click action
    - waiting 500ms
    - waiting for element to be visible, enabled and stable
    - element is visible, enabled and stable
    - scrolling into view if needed
",Error testing Create Job,2026-03-01T16:58:13.278580
CL-04,FIXED,Jobs display correctly,Jobs page shows actual jobs,2026-03-01T16:58:16.760609
CL-06,FIXED,Interviews loaded,Interviews page displays data,2026-03-01T16:58:20.021899
CL-08,FIXED,Candidates display,Candidates page shows data,2026-03-01T16:58:23.281583
CL-09,ERROR,"Page.fill: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""input[name=\""designation\""]"")
",Error testing AI generation,2026-03-01T16:58:55.588849
AD-01,FIXED,Stats show values,Admin dashboard displays real data,2026-03-01T16:58:59.336786
AD-09,OPEN,Page shows error,Users page causes app crash,2026-03-01T16:59:03.069336
