FALCON PLATFORM v1 — BUG & IMPROVEMENT TRACKER,,,,,,,,,,
ID,Date,Category,Priority,Status,Title,Description,Steps to Reproduce / Details,Expected Result,Actual Result / Current State,Role / Section
LP-01,2026-02-28,Flow/Process,Medium,Open,"""Start Free Trial"" CTA redirects to Login instead of Registration",The primary hero CTA 'Start Free Trial' and the top banner 'Try it free' link both navigate to /login (Welcome back page) instead of a registration/signup flow. New visitors expecting to create an account are met with a login form.,Click 'Start Free Trial' on the landing page hero section,Navigate to a registration/signup page,Redirects to /login with 'Welcome back' heading,Landing Page
LP-02,2026-02-28,UI/UX,Low,Closed,Missing favicon / broken logo icon in browser tab,The browser tab shows a generic icon rather than the Falcon brand icon.,Open https://falcon.up.railway.app in any browser,Falcon branded favicon visible in browser tab,Generic/default browser icon shown,Landing Page
LP-03,2026-02-28,UI/UX,Low,Closed,Stats bar contains broken emoji character,"In the stats strip, the '95% Match Accuracy' stat shows a broken/missing emoji (rendered as a rectangle/box character) instead of the intended icon.",View the stats strip on the landing page,Correct emoji icon displayed next to '95% Match Accuracy',Broken character (□) displayed,Landing Page
LP-04,2026-02-28,Flow/Process,Medium,Open,"""Watch Demo"" button has no action","The 'Watch Demo' button in the hero section does not open a video, modal, or navigate anywhere.",Click 'Watch Demo' button on the hero section,A demo video plays (modal or new page),No visible action occurs,Landing Page
LP-05,2026-02-28,Flow/Process,Low,Open,"""See it in action"" links in Solutions section have no destination","Each solution card (AI Video Interviews, Coding & Game Assessments, Smart Candidate Matching, Analytics & Hiring Decisions) has a 'See it in action' link that does not navigate anywhere.",Click any 'See it in action' link in the Solutions section,"Navigate to a demo, video, or detailed feature page",No navigation occurs,Landing Page
LP-06,2026-02-28,Text/Content,Low,Open,Testimonials use placeholder initials instead of real photos or names,"All 4 testimonials show only a single letter avatar (H, T, V, R) with generic titles like 'HR Director - Technology Company'. No real names or photos are shown, which reduces credibility.",Scroll to the 'What Hiring Teams Are Saying' section,Named testimonials with photos or at least full names,Anonymous single-letter avatars with generic company descriptions,Landing Page
LP-07,2026-02-28,Flow/Process,Low,Open,"""Request Demo"" button in navbar does not open a form or modal",Clicking the 'Request Demo' button in the top navigation does not open a demo request form or navigate to a dedicated page.,Click 'Request Demo' in the top navigation bar,A demo request form or dedicated page opens,No visible action / no navigation,Landing Page
HC-01,2026-02-28,Code,Medium,Open,Most FAQ items in Help Center do not expand when clicked,"In the Help Center FAQ section, only the first FAQ ('How do I create my first job posting?') expands to show its answer. All other FAQ items do not expand when clicked — they appear to toggle but show no content.",Navigate to Help Center → scroll to FAQ section → click any FAQ item other than the first one,Each FAQ accordion item should expand to reveal its answer,Items appear to toggle (chevron may animate) but no answer content is displayed,Help Center
CL-01,2026-02-28,UI/UX,Medium,Open,CANDIDATES stat shows 0 despite interviews being scheduled,The Statistics Overview shows 0 Candidates but 16 Interviews. This is logically inconsistent — interviews cannot be scheduled without candidates.,View the Statistics Overview on the dashboard,Candidate count should reflect actual candidates in the pipeline,Shows 0 candidates with 16 interviews,Client User
CL-02,2026-02-28,Flow/Process,Medium,Closed,"""Create Job"" quick action card does not navigate to job creation page","Clicking the 'Create Job' quick action card on the dashboard does not navigate to the job creation form. Instead, it expands a 'Getting Started' checklist widget on the same dashboard page.",Click 'Create Job' card in the Quick Actions section on the dashboard,Navigate to the job creation form (/jobs/new or similar),Expands a 'Getting Started' onboarding checklist on the same page; no navigation occurs,Client User
