ID,Module,Test Scenario,Steps to Reproduce,Expected Result,Actual Result,Status,Priority,Category,Notes,Retest Date,Retest Result
LP-01,Landing Page,"Start Free Trial" CTA,"Click 'Start Free Trial' button on homepage",Navigate to registration/signup page,Redirects to /login page,OPEN,High,Functionality,"Critical flow broken - new users see login instead of signup",2026-03-01,OPEN
LP-02,Landing Page,Favicon display,Check browser tab for favicon,Favicon should display Falcon brand icon,Favicon found: /falcon-icon.svg,FIXED,Low,UI/UX,Favicon is present,2026-03-01,FIXED
LP-03,Landing Page,Stats emoji rendering,View stats bar on homepage,Emojis should render correctly,Emojis render correctly,FIXED,Low,UI/UX,Stats emojis display properly,2026-03-01,FIXED
LP-04,Landing Page,Watch Demo button,"Click 'Watch Demo' button",Should play demo video or open modal,No action or goes to /login,OPEN,Medium,Functionality,Demo button has no demo functionality,2026-03-01,OPEN
LP-05,Landing Page,See it in action links,"Click 'See it in action' on solution cards",Should navigate to feature demo pages,No navigation or goes to /login,OPEN,Medium,Functionality,All 4 solution cards have non-functional links,2026-03-01,OPEN
LP-06,Landing Page,Testimonial avatars,View testimonial section,Should show real photos or full names,Real names/photos found,FIXED,Medium,UI/UX,Testimonials show proper avatars,2026-03-01,FIXED
LP-07,Landing Page,Request Demo button,"Click 'Request Demo' button",Should open demo request form,Goes to /login page,OPEN,Medium,Functionality,No demo request functionality,2026-03-01,OPEN
HC-01,Help Center,FAQ expansion,"Click on FAQ items (not just first one)",All FAQ items should expand and show content,FAQ items not found,NOT_FOUND,Medium,Functionality,Could not locate FAQ elements,2026-03-01,NOT_FOUND
CL-01,Client Dashboard,Candidates vs Interviews stats,View dashboard statistics,Candidates count should match interviews,Candidates: 6 Interviews: 6,FIXED,High,Functionality,Stats are consistent,2026-03-01,FIXED
CL-02,Client Dashboard,Create Job quick action,"Click 'Create Job' quick action card",Should navigate to job creation form,Modal intercepts clicks,ERROR,High,Functionality,Welcome modal blocking interaction,2026-03-01,ERROR
CL-03,Client Dashboard,Statistics consistency,Interact with dashboard then return,Stats should remain consistent,Stats stable: consistent values,FIXED,Medium,Functionality,Statistics remain consistent,2026-03-01,FIXED
CL-04,Client Dashboard,Jobs page loading,Navigate to Jobs page,Should show actual jobs immediately,Jobs display correctly,FIXED,High,Functionality,Jobs page shows actual jobs,2026-03-01,FIXED
CL-05,Client Dashboard,Sidebar navigation - Jobs,"Click 'Jobs' in sidebar",Should navigate to Jobs page,Error testing navigation,ERROR,Medium,Functionality,Could not verify navigation,2026-03-01,ERROR
CL-06,Client Dashboard,Interviews loading,Navigate to Interviews page,Should load without skeleton/loading state,Interviews loaded,FIXED,High,Functionality,Interviews page displays data,2026-03-01,FIXED
CL-07,Client Dashboard,Sidebar offset,Click various sidebar links,Links should match destinations,Error testing navigation,ERROR,Medium,UI/UX,Could not verify navigation,2026-03-01,ERROR
CL-08,Client Dashboard,Candidates page,Navigate to Candidates page,Should show candidates with interviews,Candidates display,FIXED,High,Functionality,Candidates page shows data,2026-03-01,FIXED
CL-09,Client Dashboard,Generate with AI,"Click 'Generate with AI' in job creation",Should populate job description field,Input field not found,ERROR,High,Functionality,Could not locate designation input,2026-03-01,ERROR
CL-10,Job Creation,Step 2 labeling,View Step 2 of wizard,Label should match content (Job Details),Step labels match content,FIXED,Low,UI/UX,Wizard steps correctly labeled,2026-03-01,FIXED
CL-11,Job Creation,Seniority Level visibility,Open Work Mode dropdown,Seniority Level should remain visible,Work Mode dropdown not found,ERROR,Medium,UI/UX,Could not test dropdown interaction,2026-03-01,ERROR
CL-12,Job Creation,Location field,Navigate to Step 3 of wizard,Location field should be present in Step 3,Next button disabled,ERROR,Medium,Functionality,Could not proceed to Step 3,2026-03-01,ERROR
CL-13,Job Creation,Engagement Length options,View Engagement Length dropdown,Should have specific duration options,Engagement Length not found,NOT_FOUND,Medium,Functionality,Could not locate field,2026-03-01,NOT_FOUND
CL-17,Client Jobs,Jobs page consistency,Refresh Jobs page multiple times,Should consistently show jobs,Jobs load immediately,FIXED,Medium,Functionality,Jobs page loads consistently,2026-03-01,FIXED
CL-18,Client Jobs,Job card descriptions,View job cards on Jobs page,Should show job descriptions not CV text,Proper job descriptions,FIXED,Medium,UI/UX,Job cards show correct descriptions,2026-03-01,FIXED
CL-19,Client Jobs,Placeholder job titles,View job titles on Jobs page,Should have professional titles not placeholders,No placeholders found,FIXED,Medium,Copywriting,All job titles are proper,2026-03-01,FIXED
CL-20,Client Jobs,Status badge formatting,View job status badges,Should show 'Published' not 'published',Proper case status,FIXED,Low,UI/UX,Status badges use title case,2026-03-01,FIXED
CL-27,Client Pipeline,Pipeline link navigation,"Click 'Pipeline' in sidebar",Should go to Pipeline page,Error testing Pipeline link,ERROR,Medium,Navigation,Could not verify navigation,2026-03-01,ERROR
CL-28,Client Interviews,Checklist and Date columns,View Interviews table,Columns should show actual data,Columns show — or empty,OPEN,High,Functionality,Checklist and Date columns not populated,2026-03-01,OPEN
CL-30,Client Interviews,Pagination,View Interviews page,Should have pagination controls,Pagination present,FIXED,Medium,Functionality,Interviews page has pagination,2026-03-01,FIXED
CL-33,Client Interviews,Interview detail dates,Click on interview to view details,Should show scheduled/completed dates,Element not visible,ERROR,Medium,Functionality,Could not click interview link,2026-03-01,ERROR
CL-34,Client Interviews,AI summary availability,View completed interview details,Should show AI summary,AI summary present,FIXED,Medium,Functionality,Interview has AI summary,2026-03-01,FIXED
CL-36,Client Analytics,Analytics 0% values,View Analytics dashboard,Should show actual percentages,406 zero values,OPEN,Critical,Functionality,Analytics shows 0% for all metrics,2026-03-01,OPEN
CL-45,Client Assessments,Assessment title typo,View assessment titles,Should have correct spelling,Found typo: 'Createt' or 'Sum funation',OPEN,Medium,Copywriting,Assessment has typo in title,2026-03-01,OPEN
CL-46,Client Assessments,Expired assessment button,View expired assessments,Should not show 'Continue' for expired,Expired shows Continue,OPEN,Medium,Functionality,Expired assessment shows Continue button,2026-03-01,OPEN
CL-47,Client Assessments,Create Assessment button,View Assessments page,Should have 'Create Assessment' button,Button not found,OPEN,High,Functionality,Create Assessment button missing,2026-03-01,OPEN
CL-48,Client AI Assistant,Platform questions,"Ask AI Assistant about platform features",Should answer platform-specific questions,AI Assistant responds,FIXED,Medium,Functionality,AI Assistant answers platform questions,2026-03-01,FIXED
CL-49,Client Navigation,User Menu,"Click user avatar/menu button",Should show Profile/Settings/Logout,Error testing User Menu,ERROR,Medium,UI/UX,Could not test menu,2026-03-01,ERROR
CL-53,Client Navigation,Templates link,"Click 'Templates' in sidebar",Should navigate to Templates page,Error testing Templates link,ERROR,Medium,Navigation,Could not verify navigation,2026-03-01,ERROR
CL-64,Help Center,FAQ click target,Click on FAQ text (not chevron),Should expand when clicking text,FAQ expands when clicking text,FIXED,Low,UI/UX,Click target works on text,2026-03-01,FIXED
CA-01,Candidate Dashboard,Default landing page,Login as candidate,Should land on appropriate candidate page,Lands on /dashboard/interviews,FIXED,Medium,Functionality,Candidate has appropriate landing page,2026-03-01,FIXED
CA-04,Candidate Dashboard,Greeting message,View dashboard greeting,Should show actual name not 'Interview!',Could not locate greeting,NOT_FOUND,Low,UI/UX,Greeting element not found,2026-03-01,NOT_FOUND
CA-07,Candidate Application,My Application page,Navigate to My Application,Should load without errors,Page shows error,OPEN,High,Functionality,My Application page has error,2026-03-01,OPEN
AD-01,Admin Dashboard,Statistics 0 values,View Admin dashboard,Should show actual counts not all zeros,Stats show values,FIXED,Critical,Functionality,Admin dashboard displays real data,2026-03-01,FIXED
AD-02,Admin Dashboard,Getting Started checklist,View Getting Started section,Should track completion progress,Checklist shows progress,FIXED,Medium,Functionality,Getting Started tracks completion,2026-03-01,FIXED
AD-04,Admin Dashboard,Active Jobs count,View Active Jobs statistic,Should match platform activity,Jobs: 2,FIXED,High,Functionality,Admin panel shows correct job count,2026-03-01,FIXED
AD-08,Admin Management,Clients link navigation,"Click 'Clients' in sidebar",Should navigate to Clients page,Navigates to clients page,FIXED,Medium,Navigation,Clients link works,2026-03-01,FIXED
AD-09,Admin Management,Users page crash,Navigate to Users page,Should load without crashing,Page shows error,OPEN,Critical,Functionality,Users page causes app crash,2026-03-01,OPEN
AD-11,Admin Jobs,Admin Jobs page,View Admin Jobs page,Should show actual jobs,Jobs displayed,FIXED,High,Functionality,Admin Jobs page shows actual jobs,2026-03-01,FIXED
AD-13,Admin Interviews,Admin Interviews page,View Admin Interviews page,Should show interview data,Interviews displayed,FIXED,High,Functionality,Admin Interviews shows data,2026-03-01,FIXED
AD-15,Admin Analytics,Analytics loading,View Admin Analytics,Should load without skeleton state,Analytics loaded,FIXED,Medium,Functionality,Admin Analytics displays content,2026-03-01,FIXED
